rank,course_name,location,edition,source_url
1,Augusta National,"Augusta, GA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
2,Pine Valley,"Pine Valley, NJ",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
3,Cypress Point,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
4,Shinnecock Hills,"Southampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
5,Merion Golf Club,"Ardmore, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
6,Oakmont,"Oakmont, PA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
7,Pebble Beach,"Pebble Beach, CA",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
8,National Golf Links of America,"Southampton, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
9,Winged Foot – West,"Mamaroneck, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
10,Fishers Island,"Fishers Island, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
11,Sand Hills,"Mullen, NE",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
12,Seminole,"Juno Beach, FL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
13,Crystal Downs,"Frankfort, MI",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
14,Chicago GC,"Wheaton, IL",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
15,Muirfield Village,"Dublin, OH",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
16,Oak Hill – East,"Rochester, NY",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
17,Oakland Hills – South,"Bloomfield Hills, MI",2015-16,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2015
